> LCR,SWEEP?
1.0000E0,2.4283E0,4.1181E-1,4.2323E6,-6.7618E1,-6.2284E5,4.0669E-8,1.6116E6
1.1221E0,3.0299E0,3.3004E-1,4.8677E6,-7.1735E1,-6.5566E5,3.0685E-8,1.5256E6
1.2590E0,3.0623E0,3.2656E-1,3.5735E6,-7.1916E1,-4.2942E5,3.7213E-8,1.1093E6
1.4127E0,2.7991E0,3.5725E-1,3.4195E6,-7.0341E1,-3.6278E5,3.4986E-8,1.1504E6
1.5851E0,2.8372E0,3.5246E-1,3.0648E6,-7.0585E1,-2.9022E5,3.4735E-8,1.0188E6
1.7786E0,2.6752E0,3.7381E-1,2.8748E6,-6.9504E1,-2.4096E5,3.3230E-8,1.0066E6
1.9957E0,2.7838E0,3.5922E-1,2.2960E6,-7.0241E1,-1.7232E5,3.6906E-8,7.7621E5
2.2393E0,2.8262E0,3.5383E-1,2.3672E6,-7.0515E1,-1.5861E5,3.1848E-8,7.8962E5
2.5127E0,2.6569E0,3.7638E-1,2.1038E6,-6.9375E1,-1.2472E5,3.2170E-8,7.4109E5
2.8194E0,2.5673E0,3.8952E-1,1.9122E6,-6.8718E1,-1.0058E5,3.1682E-8,6.9405E5
3.1635E0,2.7659E0,3.6155E-1,1.7537E6,-7.0123E1,-8.2972E4,3.0505E-8,5.9628E5
3.5497E0,2.7238E0,3.6713E-1,1.6274E6,-6.9840E1,-6.8496E4,2.9350E-8,5.6085E5
3.9829E0,2.8180E0,3.5487E-1,1.3960E6,-7.0462E1,-5.2571E4,3.0373E-8,4.6687E5
4.4691E0,2.6768E0,3.7358E-1,1.3471E6,-6.9515E1,-4.4941E4,2.8220E-8,4.7144E5
5.0146E0,2.5473E0,3.9258E-1,1.2267E6,-6.8566E1,-3.6241E4,2.7795E-8,4.4827E5
5.6267E0,2.5204E0,3.9676E-1,1.1158E6,-6.8359E1,-2.9336E4,2.7274E-8,4.1149E5
6.3135E0,2.4489E0,4.0835E-1,1.0173E6,-6.7787E1,-2.3741E4,2.6767E-8,3.8459E5
7.0841E0,2.2474E0,4.4496E-1,9.2693E5,-6.6013E1,-1.9026E4,2.6529E-8,3.7683E5
7.9488E0,2.2915E0,4.3639E-1,8.5778E5,-6.6424E1,-1.5741E4,2.5468E-8,3.4308E5
8.9191E0,2.1825E0,4.5819E-1,7.6622E5,-6.5383E1,-1.2430E4,2.5617E-8,3.1917E5
1.0008E1,2.1262E0,4.7032E-1,7.1850E5,-6.4812E1,-1.0340E4,2.4460E-8,3.0579E5
1.1229E1,2.0835E0,4.7995E-1,6.5428E5,-6.4361E1,-8.3601E3,2.4028E-8,2.8310E5
1.2600E1,1.9924E0,5.0190E-1,6.0069E5,-6.3348E1,-6.7813E3,2.3528E-8,2.6945E5
1.4138E1,1.9343E0,5.1699E-1,5.4824E5,-6.2661E1,-5.4824E3,2.3115E-8,2.5178E5
1.5864E1,1.8746E0,5.3344E-1,5.1142E5,-6.1923E1,-4.5270E3,2.2234E-8,2.4070E5
1.7800E1,1.8168E0,5.5043E-1,4.7275E5,-6.1170E1,-3.7031E3,2.1589E-8,2.2796E5
1.9973E1,1.7519E0,5.7082E-1,4.3701E5,-6.0281E1,-3.0243E3,2.0996E-8,2.1665E5
2.2411E1,1.6774E0,5.9615E-1,4.0550E5,-5.9199E1,-2.4736E3,2.0390E-8,2.0764E5
2.5146E1,1.6309E0,6.1317E-1,3.7727E5,-5.8485E1,-2.0356E3,1.9679E-8,1.9721E5
2.8216E1,1.5695E0,6.3714E-1,3.5034E5,-5.7497E1,-1.6666E3,1.9091E-8,1.8825E5
3.1660E1,1.5320E0,6.5275E-1,3.2656E5,-5.6866E1,-1.3747E3,1.8383E-8,1.7850E5
3.5524E1,1.4823E0,6.7465E-1,3.0190E5,-5.5994E1,-1.1212E3,1.7902E-8,1.6884E5
3.9860E1,1.4347E0,6.9700E-1,2.7850E5,-5.5123E1,-9.1228E2,1.7476E-8,1.5925E5
4.4726E1,1.3956E0,7.1654E-1,2.6437E5,-5.4377E1,-7.6469E2,1.6559E-8,1.5398E5
5.0185E1,1.3844E0,7.2232E-1,2.4114E5,-5.4159E1,-6.1994E2,1.6224E-8,1.4120E5
5.6311E1,1.3216E0,7.5663E-1,2.3003E5,-5.2888E1,-5.1847E2,1.5408E-8,1.3880E5
6.3184E1,1.2904E0,7.7498E-1,2.1552E5,-5.2225E1,-4.2909E2,1.4787E-8,1.3202E5
7.0897E1,1.2551E0,7.9676E-1,1.9945E5,-5.1454E1,-3.5018E2,1.4391E-8,1.2429E5
7.9550E1,1.2230E0,8.1764E-1,1.8909E5,-5.0729E1,-2.9288E2,1.3667E-8,1.1969E5
8.9260E1,1.1905E0,8.3998E-1,1.7692E5,-4.9970E1,-2.4154E2,1.3162E-8,1.1379E5
1.0016E2,1.1646E0,8.5866E-1,1.6430E5,-4.9349E1,-1.9809E2,1.2748E-8,1.0704E5
1.1238E2,1.1377E0,8.7899E-1,1.5635E5,-4.8685E1,-1.6631E2,1.2060E-8,1.0322E5
