> FRA,SWEEP?
3.1684E2,1.4373E-2,2.9073E-1,2.6119E1,-9.1402E-3,8.0133E-8,-9.1402E-3
3.5552E2,1.4372E-2,2.9075E-1,2.6119E1,-1.1784E-2,9.2072E-8,1.0026E-1
3.9891E2,1.4373E-2,2.9074E-1,2.6119E1,-1.3454E-2,9.3686E-8,-1.3454E-2
4.4761E2,1.4373E-2,2.9076E-1,2.6119E1,-1.6187E-2,1.0045E-7,-1.6187E-2
5.0224E2,1.4374E-2,2.9078E-1,2.6119E1,-1.7283E-2,9.5589E-8,-1.7283E-2
5.6355E2,1.4373E-2,2.9077E-1,2.6120E1,-1.8164E-2,8.9534E-8,-1.8164E-2
6.3233E2,1.4374E-2,2.9079E-1,2.6120E1,-2.0682E-2,9.0852E-8,-2.0678E-2
7.0952E2,1.4374E-2,2.9081E-1,2.6120E1,-2.2355E-2,8.7522E-8,-2.3240E-2
7.9612E2,1.4375E-2,2.9083E-1,2.6120E1,-2.4777E-2,8.6450E-8,-2.4777E-2
8.9330E2,1.4376E-2,2.9083E-1,2.6120E1,-2.7687E-2,8.6095E-8,-2.7687E-2
1.0023E3,1.4379E-2,2.9092E-1,2.6121E1,-2.9699E-2,8.2305E-8,-2.9699E-2
1.1247E3,1.4384E-2,2.9103E-1,2.6121E1,-3.5659E-2,8.8072E-8,-3.5659E-2
1.2620E3,1.4385E-2,2.9105E-1,2.6121E1,-4.1596E-2,9.1558E-8,-4.1599E-2
1.4160E3,1.4382E-2,2.9101E-1,2.6121E1,-5.0357E-2,9.8785E-8,-5.0357E-2
1.5888E3,1.4381E-2,2.9096E-1,2.6121E1,-5.5470E-2,9.6978E-8,-5.5470E-2
1.7828E3,1.4380E-2,2.9095E-1,2.6121E1,-6.2103E-2,9.6764E-8,-6.2103E-2
2.0004E3,1.4379E-2,2.9092E-1,2.6121E1,-6.9488E-2,9.6492E-8,-6.9488E-2
2.2446E3,1.4379E-2,2.9091E-1,2.6121E1,-7.8512E-2,9.7163E-8,-7.8512E-2
2.5185E3,1.4379E-2,2.9092E-1,2.6120E1,-8.7881E-2,9.6926E-8,-8.8105E-2
2.8260E3,1.4379E-2,2.9092E-1,2.6120E1,-9.9548E-2,9.7851E-8,-9.9548E-2
3.1709E3,1.4380E-2,2.9092E-1,2.6120E1,-1.1065E-1,9.6934E-8,-1.1065E-1
3.5579E3,1.4381E-2,2.9092E-1,2.6120E1,-1.2529E-1,9.7816E-8,-1.2529E-1
3.9922E3,1.4381E-2,2.9092E-1,2.6120E1,-1.3915E-1,9.6819E-8,-1.3915E-1
4.4795E3,1.4381E-2,2.9092E-1,2.6119E1,-1.5590E-1,9.6674E-8,-1.5590E-1
5.0263E3,1.4381E-2,2.9092E-1,2.6119E1,-1.7437E-1,9.6364E-8,-1.7414E-1
5.6398E3,1.4383E-2,2.9091E-1,2.6118E1,-1.9615E-1,9.6609E-8,-1.9615E-1
6.3283E3,1.4383E-2,2.9092E-1,2.6118E1,-2.1773E-1,9.5573E-8,-2.1773E-1
7.1007E3,1.4385E-2,2.9092E-1,2.6117E1,-2.4245E-1,9.4845E-8,-2.4245E-1
7.9674E3,1.4385E-2,2.9089E-1,2.6117E1,-2.7057E-1,9.4332E-8,-2.7057E-1
8.9399E3,1.4385E-2,2.9088E-1,2.6116E1,-3.0139E-1,9.3645E-8,-3.0139E-1
1.0031E4,1.4383E-2,2.9077E-1,2.6115E1,-3.4648E-1,9.5945E-8,-3.4636E-1
1.1256E4,1.4383E-2,2.9076E-1,2.6113E1,-3.8447E-1,9.4883E-8,-8.5144E-1
1.2630E4,1.4385E-2,2.9074E-1,2.6112E1,-4.2644E-1,9.3793E-8,-4.2644E-1
1.4171E4,1.4385E-2,2.9071E-1,2.6111E1,-4.7445E-1,9.3001E-8,-4.7445E-1
1.5901E4,1.4387E-2,2.9070E-1,2.6109E1,-5.2468E-1,9.1658E-8,-5.2468E-1
1.7842E4,1.4389E-2,2.9067E-1,2.6107E1,-5.7892E-1,9.0133E-8,-5.7892E-1
2.0020E4,1.4390E-2,2.9063E-1,2.6105E1,-6.3820E-1,8.8552E-8,-6.3820E-1
2.2463E4,1.4391E-2,2.9058E-1,2.6103E1,-7.0766E-1,8.7509E-8,-7.0812E-1
2.5205E4,1.4394E-2,2.9053E-1,2.6100E1,-7.8017E-1,8.5981E-8,-7.8017E-1
2.8282E4,1.4396E-2,2.9048E-1,2.6098E1,-8.6360E-1,8.4821E-8,-8.6360E-1
3.1734E4,1.4398E-2,2.9044E-1,2.6095E1,-9.5156E-1,8.3294E-8,-9.5156E-1
3.5607E4,1.4401E-2,2.9041E-1,2.6092E1,-1.0492E0,8.1848E-8,-1.0492E0
